name,lat,lon,difficulty,national_park
Mount Cammerer and Mount Sterling Loop,35.75948,-83.1059,5,Great Smoky Mountains National Park
"Purchase Road, Ferguson Cabin, and Catalochee Divide Loop",35.57397,-83.0751,3,Great Smoky Mountains National Park
Newton Bald Trail,35.55287,-83.31,5,Great Smoky Mountains National Park
Newton Bald Loop Trail,35.46411,-83.4339,5,Great Smoky Mountains National Park
Fork Ridge Trail,35.59061,-83.4695,3,Great Smoky Mountains National Park
Kanati Fork Trail,35.58788,-83.3638,5,Great Smoky Mountains National Park
Forney Ridge and Forney Creek Loop,35.55682,-83.496,5,Great Smoky Mountains National Park
Tow String Trail,35.55293,-83.3094,3,Great Smoky Mountains National Park
Wolf Ridge Trail to Gregory Bald,35.46732,-83.876,5,Great Smoky Mountains National Park
Swag Loop,35.57408,-83.0935,5,Great Smoky Mountains National Park
Hyatt Ridge Loop Trail,35.62111,-83.2108,3,Great Smoky Mountains National Park
Balsam Mountain Nature Trail,35.5672,-83.1754,1,Great Smoky Mountains National Park
Forney Ridge and Noland Divide Loop Trail,35.5566,-83.4958,5,Great Smoky Mountains National Park
Forney Ridge to Silers Bald to Clingman Loop,35.557,-83.4962,3,Great Smoky Mountains National Park
"Bradley Fork, Dry Sluice Gap, Appalachian, Hughes Ridge and Chasteen Creek Loop",35.56286,-83.3106,5,Great Smoky Mountains National Park
Spruce Mountain Trail,35.61102,-83.1845,3,Great Smoky Mountains National Park
Appalachian Trail: Lake Fontana Dam to Clingmans Dome,35.56292,-83.4984,5,Great Smoky Mountains National Park
Big Creek Perimeter Loop,35.7595,-83.1059,5,Great Smoky Mountains National Park
Rich Gap via Long Hungry Ridge Trail,35.46722,-83.8769,5,Great Smoky Mountains National Park
Spruce Mountain Loop Trail,35.56302,-83.1622,5,Great Smoky Mountains National Park
Lakeshore Trail via Fontana Dam,35.46129,-83.8109,3,Great Smoky Mountains National Park
"Thomas Divide, Newton Bald and Mingus Creek Trail",35.58568,-83.3988,5,Great Smoky Mountains National Park
Hemphill Bald via Caldwell Fork Trail,35.63132,-83.0881,5,Great Smoky Mountains National Park
Shuckstack via Twenty Mile Loop,35.46736,-83.8767,5,Great Smoky Mountains National Park
Newfound Gap to Long Ridge Campsite,35.61047,-83.4258,5,Great Smoky Mountains National Park
Beech Gap Trail to McGee Springs,35.62122,-83.2109,5,Great Smoky Mountains National Park
Indian Creek to Martin's Gap Trail,35.46399,-83.434,5,Great Smoky Mountains National Park
Lakeshore and Tunnel Bypass Trail Loop,35.45897,-83.5378,1,Great Smoky Mountains National Park
Lakeshore Loop,35.459,-83.5377,5,Great Smoky Mountains National Park
Beech Gap Trail,35.62414,-83.2114,3,Great Smoky Mountains National Park
Davenport Gap to Low Gap Loop Trail,35.7595,-83.1057,5,Great Smoky Mountains National Park
Big Creek and Mt Sterling Loop,35.75188,-83.1102,5,Great Smoky Mountains National Park
Clingsman Dome Loop,35.55681,-83.496,5,Great Smoky Mountains National Park
Mount Sterling Backpacking Trail,35.75107,-83.109,5,Great Smoky Mountains National Park
Long Bunk Trail via Mount Sterling Trail,35.70024,-83.0974,3,Great Smoky Mountains National Park
"Goldmine, Forney and Noland Loop",35.45873,-83.5375,3,Great Smoky Mountains National Park
"Appalachian Trail, Rocky Top, Eagle Creek and Lakeshore Trail",35.46052,-83.811,5,Great Smoky Mountains National Park
Beech Flats Quiet Walkway,35.59888,-83.412,3,Great Smoky Mountains National Park
Cold Spring Gap Trail,35.4591,-83.5381,5,Great Smoky Mountains National Park
"Cooper Creek Trail, Deeplow Gap Trail, Mingus Creek Trail, and Thomas Divide Trail Loop",35.4924,-83.37,5,Great Smoky Mountains National Park
Big Fork Ridge/Caldwell Fork/Boogerman/Caldwell,35.61641,-83.1207,5,Great Smoky Mountains National Park
Sugarland Mountain and Huskey Gap Trail,35.59047,-83.4695,5,Great Smoky Mountains National Park
Springhouse Branch Trail via Forney Ridge Trail,35.5568,-83.496,3,Great Smoky Mountains National Park
Fontana Dam to Cade’s Cove,35.45231,-83.8013,5,Great Smoky Mountains National Park
Benton MacKaye Trail: Smokemount to Big Creek,35.75109,-83.1096,5,Great Smoky Mountains National Park
"Silers Bald via Lakeshore Trail, Bear Creek Trail, and Welch Ridge Trail",35.45893,-83.5379,5,Great Smoky Mountains National Park
"Mt. Collins Shelter, Clingman/Forney Trail and Camp 68",35.5904,-83.4693,5,Great Smoky Mountains National Park
Forney Loop,35.5568,-83.496,3,Great Smoky Mountains National Park
Polls Gap-Rough Fork Tr to Caldwell Fork Tr,35.56326,-83.1615,3,Great Smoky Mountains National Park
Wind Canyon Trail,46.98863,-103.4851,1,Theodore Roosevelt National Park
Caprock Coulee Loop,47.60986,-103.356,3,Theodore Roosevelt National Park
Painted Canyon Nature Trail,46.8943,-103.3821,1,Theodore Roosevelt National Park
Petrified Forest Trail,46.99627,-103.6046,3,Theodore Roosevelt National Park
Maah Daah Hey Trail,46.59833,-103.4451,5,Theodore Roosevelt National Park
Lower Paddock Creek Trail,46.95256,-103.4951,3,Theodore Roosevelt National Park
Buck Hill Trail,46.92654,-103.3895,3,Theodore Roosevelt National Park
Ridgeline Nature Trail,46.9219,-103.463,3,Theodore Roosevelt National Park
Coal Vein Trail,46.92453,-103.4021,1,Theodore Roosevelt National Park
Buckhorn Trail,47.60038,-103.2666,5,Theodore Roosevelt National Park
Jones Creek Trail,46.96627,-103.4874,3,Theodore Roosevelt National Park
Boicourt Overlook Trail,46.95934,-103.4017,1,Theodore Roosevelt National Park
Achenbach and North Achenbach Trail Loop,47.59297,-103.3389,5,Theodore Roosevelt National Park
Old East Entrance Station Trail,46.91258,-103.4289,1,Theodore Roosevelt National Park
Painted Canyon Trail,46.89518,-103.3797,3,Theodore Roosevelt National Park
The Big Plateau Trail,46.9591,-103.5029,3,Theodore Roosevelt National Park
Lone Tree Spring Trail,46.95905,-103.5028,3,Theodore Roosevelt National Park
Achenbach/Bison Trail Loop,47.60303,-103.4429,5,Theodore Roosevelt National Park
East River Road to Scenic Loop Drive,46.9163,-103.5256,1,Theodore Roosevelt National Park
Peaceful Valley Ranch Trails,46.95896,-103.5043,3,Theodore Roosevelt National Park
Upper Talkinton Loop Trail,46.94,-103.3811,3,Theodore Roosevelt National Park
Ekblom and Maah Daah Hey Trail,46.95908,-103.502,3,Theodore Roosevelt National Park
Upper Paddock Creek Trail,46.93194,-103.4316,3,Theodore Roosevelt National Park
Ledges Trail,41.22386,-81.5101,3,Cuyahoga Valley National Park
Brandywine Gorge Trail,41.27688,-81.5402,3,Cuyahoga Valley National Park
Stanford House to Brandywine Falls Trail,41.27104,-81.556,3,Cuyahoga Valley National Park
Blue Hen Falls Trail,41.25634,-81.5726,3,Cuyahoga Valley National Park
Salt Run Trail,41.21832,-81.5242,3,Cuyahoga Valley National Park
Plateau Trail,41.21948,-81.5764,3,Cuyahoga Valley National Park
Pine Grove Trail and Ledges Trail Loop from Kendall Lake,41.21802,-81.5248,3,Cuyahoga Valley National Park
Buckeye Trail to Valley Bridle Trail Loop,41.23943,-81.538,3,Cuyahoga Valley National Park
Wetmore Bridle Trail,41.21248,-81.5458,3,Cuyahoga Valley National Park
Ohio and Erie Canal Towpath Trail: Brecksville Station,41.31788,-81.5876,1,Cuyahoga Valley National Park
Buckeye Trail: Blue Hen to Jaite,41.25609,-81.5726,3,Cuyahoga Valley National Park
Buckeye Trail: Jaite to Brecksville Station,41.28877,-81.5717,3,Cuyahoga Valley National Park
Boston Run Trail,41.23206,-81.5073,3,Cuyahoga Valley National Park
Kendall Lake Loop,41.21887,-81.5241,1,Cuyahoga Valley National Park
Pine Grove Trail,41.22634,-81.514,1,Cuyahoga Valley National Park
Buckeye Trail and Ohio & Erie Canal Towpath Loop,41.26251,-81.5587,3,Cuyahoga Valley National Park
Oak Hill Trail,41.21942,-81.5762,1,Cuyahoga Valley National Park
Ledges Trail and Pine Grove Trail Loop,41.22308,-81.5105,3,Cuyahoga Valley National Park
Boston to Red Lock Loop via Buckeye Trail and Ohio and Erie Canal Towpath,41.26274,-81.559,3,Cuyahoga Valley National Park
Wetmore Outer Loop,41.21244,-81.5458,3,Cuyahoga Valley National Park
Tree Farm Trail,41.23328,-81.5691,1,Cuyahoga Valley National Park
Riding Run Trail Loop,41.2042,-81.5807,3,Cuyahoga Valley National Park
Ohio and Erie Canal Towpath: Peninsula to Boston Mills,41.2433,-81.5499,1,Cuyahoga Valley National Park
Perkins Trail and Riding Run Loop,41.20419,-81.58,3,Cuyahoga Valley National Park
Ohio and Erie Canal Towpath from Ira Trailhead,41.18411,-81.5817,1,Cuyahoga Valley National Park
Ledges Trail Loop via Haskell Run Trail,41.23193,-81.5078,3,Cuyahoga Valley National Park
Furnace Run,41.20417,-81.5807,3,Cuyahoga Valley National Park
Cross Country Trail from Quick Road,41.20925,-81.5268,1,Cuyahoga Valley National Park
Cross Country Trail from Kendall Lake,41.21792,-81.5249,3,Cuyahoga Valley National Park
Ohio and Erie Canal Towpath from Boston Mills to Peninsula,41.26261,-81.5584,1,Cuyahoga Valley National Park
Ohio and Erie Canal Towpath: Red Lock to Peninsula,41.28955,-81.5637,1,Cuyahoga Valley National Park
Buckeye Trail: Jaite to Boston,41.28875,-81.5717,3,Cuyahoga Valley National Park
Twin Sister Falls,41.3183,-81.5877,1,Cuyahoga Valley National Park
East Rim MTB Trail,41.25512,-81.5189,3,Cuyahoga Valley National Park
"Wetmore, Lake and Salt Run Trail Loop ",41.21247,-81.5455,3,Cuyahoga Valley National Park
"Perkins Trail, Riding Run, and Furnace Trail Loop",41.20425,-81.58,3,Cuyahoga Valley National Park
Buckeye Trail to Bridle Trail Loop,41.26282,-81.5581,3,Cuyahoga Valley National Park
Buckeye Trail and Ohio and Erie Canal Towpath Loop Extended,41.26252,-81.558,3,Cuyahoga Valley National Park
Haskell Run Trail,41.23169,-81.5078,1,Cuyahoga Valley National Park
Buckeye Trail: Short Loop,41.23942,-81.5381,1,Cuyahoga Valley National Park
Valley Bridle Trail,41.23937,-81.538,1,Cuyahoga Valley National Park
Buckeye Trail and Bridle Trail Loop from Red Lock Trailhead,41.28954,-81.5637,3,Cuyahoga Valley National Park
Forest Point Trail,41.22628,-81.514,1,Cuyahoga Valley National Park
Ohio and Erie Canal Towpath and Buckeye Trail Loop,41.24317,-81.5503,3,Cuyahoga Valley National Park
"Buckeye, West Highland Road, and Stanford Loop",41.26344,-81.5584,3,Cuyahoga Valley National Park
Cuyahoga Valley Trail,41.23938,-81.538,1,Cuyahoga Valley National Park
Hale Farm Connector to Ohio & Erie Canal Towpath Trail,41.19402,-81.5776,1,Cuyahoga Valley National Park
Langes Run and Butler’s Trail Loop,41.2123,-81.5455,1,Cuyahoga Valley National Park
Three Waterfalls Loop [PRIVATE PROPERTY],41.25596,-81.572,3,Cuyahoga Valley National Park
Old Carriage Trail [CLOSED],41.28957,-81.5643,3,Cuyahoga Valley National Park
Garfield Peak Trail,42.91,-122.1419,3,Crater Lake National Park
Cleetwood Cove Trail,42.97972,-122.0833,3,Crater Lake National Park
The Watchman Peak Trail,42.94581,-122.1689,3,Crater Lake National Park
Mount Scott Trail,42.92905,-122.0301,3,Crater Lake National Park
Discovery Point Trail,42.91089,-122.1459,1,Crater Lake National Park
Plaikni Falls Trail,42.90165,-122.0611,1,Crater Lake National Park
Wizard Island Trail,42.93439,-122.15,3,Crater Lake National Park
Sun Notch Trail,42.9,-122.0954,1,Crater Lake National Park
Pinnacles Valley Trail,42.84983,-122.007,1,Crater Lake National Park
Mazama Village to Rim Village at Crater Lake,42.87174,-122.1693,3,Crater Lake National Park
Crater Lake Rim Scenic Drive,43.08861,-122.1164,1,Crater Lake National Park
Godfrey Glen Trail,42.86676,-122.1455,1,Crater Lake National Park
Crater Peak Trail,42.88233,-122.0977,3,Crater Lake National Park
Annie Creek Canyon Trail,42.86542,-122.1624,3,Crater Lake National Park
Castle Crest Wildflower Garden Trail,42.89664,-122.1337,1,Crater Lake National Park
Dutton Creek Trail,42.91206,-122.1476,3,Crater Lake National Park
Lightning Spring Trail,42.93441,-122.17,3,Crater Lake National Park
Pacific Crest Trail and Alternate Loop,42.87199,-122.1692,5,Crater Lake National Park
Lady of the Woods Trail,42.89698,-122.1341,1,Crater Lake National Park
Stuart Falls Trail,42.84313,-122.1494,3,Crater Lake National Park
Union Peak Trail,42.8711,-122.1804,3,Crater Lake National Park
PCT: Crater Lake to Willamette Trailhead,42.87187,-122.1692,3,Crater Lake National Park
Boardwalk Loop Trail,33.82994,-80.822,1,Congaree National Park
Weston Lake Loop Trail,33.82961,-80.8237,1,Congaree National Park
Oakridge Trail,33.83019,-80.8229,1,Congaree National Park
Congaree River Trail,33.83015,-80.8232,1,Congaree National Park
Kingsnake Trail,33.82033,-80.7875,1,Congaree National Park
Congaree Bluff Trail,33.83567,-80.82,1,Congaree National Park
Cedar Creek,33.81969,-80.787,1,Congaree National Park Wilderness
Congaree River Blue Trail,33.96156,-81.0351,3,Congaree National Park
Notch Trail,43.76031,-101.928,3,Badlands National Park
Castle Trail,43.7613,-101.9279,3,Badlands National Park
The Door Trail,43.7636,-101.9268,3,Badlands National Park
Saddle Pass Trail,43.758,-101.9744,3,Badlands National Park
Medicine Root Loop Trail,43.75805,-101.9743,1,Badlands National Park
The Window Trail,43.76022,-101.9278,1,Badlands National Park
Cliff Shelf Nature Trail,43.75043,-101.9311,1,Badlands National Park
Fossil Exhibit Trail,43.77289,-102.0029,1,Badlands National Park
Rankin Ridge Interpretive Trail,43.62278,-103.4858,3,Wind Cave National Park
Wind Cave Canyon Trail,43.55464,-103.466,1,Wind Cave National Park
Lookout Point Trail and Centennial Trail Loop,43.58144,-103.483,3,Wind Cave National Park
Cold Brook Canyon Trail,43.53544,-103.498,1,Wind Cave National Park
East Bison Flats Trail,43.52178,-103.4774,3,Wind Cave National Park
Boland Ridge Trail,43.59131,-103.3816,3,Wind Cave National Park
Sage Creek Loop,43.83475,-102.2013,5,Badlands National Park
Centennial Trail: Highway 87 to Highlander Rd,43.58121,-103.4845,3,Wind Cave National Park
Sheep Mountain Table Road,43.72457,-102.5284,3,Badlands National Park
Elk Mountain Interpretive Trail,43.55863,-103.4866,1,Wind Cave National Park
Prairie Vista Loop,43.55662,-103.4788,1,Wind Cave National Park
Highland Creek Trail to Centennial Trail Loop,43.62242,-103.4211,5,Wind Cave National Park
Alum Cave Trail to Mount LeConte,35.62957,-83.4517,5,Great Smoky Mountains National Park
Chimney Tops Trail,35.63544,-83.4697,5,Great Smoky Mountains National Park
Rainbow Falls Trail,35.67592,-83.4866,3,Great Smoky Mountains National Park
Grotto Falls Trail,35.68027,-83.4626,3,Great Smoky Mountains National Park
Laurel Falls Trail,35.6719,-83.5806,1,Great Smoky Mountains National Park
Abrams Falls Trail,35.59095,-83.852,3,Great Smoky Mountains National Park
Charlies Bunion via Appalachian Trail,35.61098,-83.4247,3,Great Smoky Mountains National Park
Ramsey Cascades Trail,35.70272,-83.3574,5,Great Smoky Mountains National Park
Peregrine Peak via Alum Cave Bluffs Trail,35.62874,-83.4507,3,Great Smoky Mountains National Park
Spruce Flats Falls Trail,35.64105,-83.6892,3,Great Smoky Mountains National Park
Porters Creek Trail,35.69662,-83.3884,3,Great Smoky Mountains National Park
Mount Cammerer via Low Gap Trail,35.75637,-83.2078,5,Great Smoky Mountains National Park
Gatlinburg Trail,35.68562,-83.5373,1,Great Smoky Mountains National Park
Laurel Falls and Cove Mountain,35.6719,-83.5805,3,Great Smoky Mountains National Park
Jump Off Trail via Appalachian Trail,35.61097,-83.4247,3,Great Smoky Mountains National Park
Cucumber Gap and Little River Loop Trail,35.65342,-83.5801,3,Great Smoky Mountains National Park
Indian Flats Falls via Middle Prong Trail,35.61853,-83.6699,3,Great Smoky Mountains National Park
Cades Cove Loop Road,35.60651,-83.7741,1,Great Smoky Mountains National Park
Mount LeConte via Appalachian Trail and Boulevard Trail,35.61095,-83.4248,5,Great Smoky Mountains National Park
Cataract Falls,35.68551,-83.5371,1,Great Smoky Mountains National Park
Gabes Mountain Trail to Hen Wallow Falls,35.75779,-83.2096,3,Great Smoky Mountains National Park
Mount LeConte and Rainbow Falls via The Bullhead Trail,35.67573,-83.4856,5,Great Smoky Mountains National Park
Baskins Creek Trail and Baskins Creek Falls,35.67745,-83.4785,3,Great Smoky Mountains National Park
Mount LeConte via Trillium Gap Loop Trail,35.68006,-83.4622,5,Great Smoky Mountains National Park
Icewater Spring via Appalachian Trail,35.61096,-83.4246,5,Great Smoky Mountains National Park
Middle Prong Trail,35.61741,-83.6694,3,Great Smoky Mountains National Park
Rocky Top from Lead Cove Trailhead,35.60686,-83.7448,5,Great Smoky Mountains National Park
Spruce Flats Falls via Lumber Ridge Loop,35.64146,-83.6893,3,Great Smoky Mountains National Park
Roaring Fork Motor Nature Trail,35.68552,-83.4964,3,Great Smoky Mountains National Park
Gregory Ridge Trail to Gregory Bald,35.56245,-83.8457,5,Great Smoky Mountains National Park
Walker Sisters Home via Little Brier Gap Trail,35.67828,-83.6475,1,Great Smoky Mountains National Park
Meigs Creek Trail,35.6693,-83.662,3,Great Smoky Mountains National Park
Trillium Gap Trail to Grotto Falls,35.67558,-83.485,3,Great Smoky Mountains National Park
Little River Trail to Little River Upper Falls and Grouse Creek Campground,35.65366,-83.5801,1,Great Smoky Mountains National Park
Myrtle Point and Mount LeConte via Alum Cave Trail,35.62909,-83.4509,5,Great Smoky Mountains National Park
Look Rock Tower Trail,35.63124,-83.9402,1,Great Smoky Mountains National Park
West Prong Trail,35.64091,-83.6911,3,Great Smoky Mountains National Park
Fighting Creek Nature Trail,35.68552,-83.537,1,Great Smoky Mountains National Park
Appalachian Trail: Newfound Gap to Sweat Heifer Creek Trail,35.61084,-83.4252,3,Great Smoky Mountains National Park
Mount Sterling via Mount Sterling Gap,35.70021,-83.0974,5,Great Smoky Mountains National Park
Rich Mountain Loop Trail,35.60645,-83.7764,3,Great Smoky Mountains National Park
Sugarlands Valley Nature Trail,35.67956,-83.5312,1,Great Smoky Mountains National Park
Maddron Bald Trail to Albright Grove Loop,35.76935,-83.266,3,Great Smoky Mountains National Park
"Noah ""Bud"" Ogle Self-Guiding Trail",35.68348,-83.4904,1,Great Smoky Mountains National Park
Appalachian Trail: Clingman Dome to Cades Cove,35.56271,-83.4999,5,Great Smoky Mountains National Park
Twin Creeks Trail,35.70124,-83.512,1,Great Smoky Mountains National Park
Baskins Creek Falls Trail to Greenbrier Cove,35.67703,-83.4784,3,Great Smoky Mountains National Park
Huskey Branch Falls,35.65364,-83.5802,1,Great Smoky Mountains National Park
Old Sugarlands Trail,35.68804,-83.5349,3,Great Smoky Mountains National Park
Metcalf Bottoms Trail,35.67828,-83.6476,1,Great Smoky Mountains National Park
Mount LeConte via Rainbow Falls Trail,35.67577,-83.4855,5,Great Smoky Mountains National Park
Rainbow Falls Trail and Cliff Tops Trail,35.6755,-83.4856,5,Great Smoky Mountains National Park
Appalachian Trail: Davenport Gap to Max Patch,35.78333,-83.1092,5,Great Smoky Mountains National Park
Schoolhouse Gap Trail,35.62725,-83.7264,3,Great Smoky Mountains National Park
Meigs Creek Trail: Short Version,35.66942,-83.6623,3,Great Smoky Mountains National Park
Injun Creek Trail,35.72964,-83.4058,3,Great Smoky Mountains National Park
Anthony Creek Leadbetter Ridge Loop Trail,35.60421,-83.7706,5,Great Smoky Mountains National Park
Myrtle Point via Appalachian Trail and Boulevard Trail,35.61041,-83.4255,3,Great Smoky Mountains National Park
Jakes Creek Trail to Avent Cabin,35.65229,-83.5814,1,Great Smoky Mountains National Park
Mount Le Conte,35.68029,-83.4625,5,Great Smoky Mountains National Park
Chestnut Branch Trail to Mount Cammerer,35.75946,-83.1059,5,Great Smoky Mountains National Park
Chestnut Top Trail to Whiteoak Sink,35.66054,-83.709,3,Great Smoky Mountains National Park
Brushy Mountain,35.68026,-83.4624,5,Great Smoky Mountains National Park
Lynn Camp Via Middle Prong Trail,35.61861,-83.67,3,Great Smoky Mountains National Park
Cove Hardwoods Nature Trail,35.63642,-83.4917,3,Great Smoky Mountains National Park
Newfound Gap Road Drive,35.68449,-83.5349,3,Great Smoky Mountains National Park
Elkmont Nature Trail,35.65775,-83.5806,1,Great Smoky Mountains National Park
Jakes Creek via Miry Ridge Trail and Appalachian Trail Loop,35.65201,-83.5812,5,Great Smoky Mountains National Park
Mt. Sterling via Baxter Creek Trail,35.75117,-83.1097,5,Great Smoky Mountains National Park
Lower Mount Cammerer Trail,35.75396,-83.207,5,Great Smoky Mountains National Park
Elijah Oliver Place Trail,35.59758,-83.8433,1,Great Smoky Mountains National Park
Rocky Top via Anthony Creek Trail,35.60501,-83.77,5,Great Smoky Mountains National Park
Newfound Gap to Indian Gap,35.61057,-83.426,1,Great Smoky Mountains National Park
Grapeyard Ridge Trail,35.70772,-83.3833,5,Great Smoky Mountains National Park
Huskey Gap Trail,35.66318,-83.5267,1,Great Smoky Mountains National Park
Brushy Mountain Trail,35.69686,-83.387,5,Great Smoky Mountains National Park
Courthouse Rock Trail,35.65007,-83.512,3,Great Smoky Mountains National Park
Jakes Creek and Lynn Camp Prong,35.65234,-83.5815,3,Great Smoky Mountains National Park
Riverview Quiet Walkway,35.66337,-83.5263,1,Great Smoky Mountains National Park
Sugarland Mountain Trail,35.67171,-83.5804,5,Great Smoky Mountains National Park
Little Bottoms Trail,35.60914,-83.9352,3,Great Smoky Mountains National Park
Appalachian Trail: Fontana Lake to Mount Squires,35.46048,-83.811,3,Great Smoky Mountains National Park
Curry Mountain Trail,35.67542,-83.6464,3,Great Smoky Mountains National Park
Gregory's Little Bald Trail,35.54295,-83.8943,5,Great Smoky Mountains National Park
Cosby Self-Guided Nature Trail,35.7559,-83.207,1,Great Smoky Mountains National Park
"Old Sugarlands, Twin Creeks, Gatlinburg Loop Trail",35.68757,-83.5347,3,Great Smoky Mountains National Park
Metcalf Bottoms Trail to Laurel Falls,35.67822,-83.6476,5,Great Smoky Mountains National Park
"Gabes Mountaun, Maddron Bald and Snake Den Ridge Loop",35.75722,-83.2089,5,Great Smoky Mountains National Park
Finley Cane Trail,35.60662,-83.7449,1,Great Smoky Mountains National Park
Old Settlers Trail,35.70774,-83.3799,3,Great Smoky Mountains National Park
Lead Cove Trail,35.60661,-83.7448,3,Great Smoky Mountains National Park
Lead Cove and Finley Cane Trail,35.60663,-83.7449,3,Great Smoky Mountains National Park
Thunderhead Prong Quiet Walkway,35.61749,-83.6696,1,Great Smoky Mountains National Park
Whiteoak Sinks,35.62771,-83.7263,1,Great Smoky Mountains National Park
Mount Cammerer Loop - Low Gap and Lower Cammerer,35.75595,-83.2,5,Great Smoky Mountains National Park
Little River and Goshen Prong Trail,35.65359,-83.58,5,Great Smoky Mountains National Park
Snake Den Ridge Low Gap Trail,35.75363,-83.2068,5,Great Smoky Mountains National Park
Rabbit and Abrams Creeks Loop Trail,35.60777,-83.9364,3,Great Smoky Mountains National Park
Appalachian Trail: Newfound Gap to Fontana Lake,35.61105,-83.4253,5,Great Smoky Mountains National Park
Meigs Mountain Trail,35.65192,-83.5812,3,Great Smoky Mountains National Park
Bote Mountain Trail,35.62813,-83.7253,5,Great Smoky Mountains National Park
Appalachian Trail: Newfound Gap to Davenport Gap,35.61071,-83.4255,5,Great Smoky Mountains National Park
Cades Cove Loop Hike,35.60674,-83.7949,3,Great Smoky Mountains National Park
Tremont Logging History Auto Tour,35.64103,-83.6904,1,Great Smoky Mountains National Park
Abrams Falls Via Abrams Creek Campground,35.61058,-83.9325,3,Great Smoky Mountains National Park
"Mount Sterling Loop (via Low Gap, Big Creek, Swallow Fork)",35.75576,-83.2078,5,Great Smoky Mountains National Park
Ace Gap Trail,35.64565,-83.8054,3,Great Smoky Mountains National Park
Cove Mountain Laurel Falls Loop Trail,35.68795,-83.5381,3,Great Smoky Mountains National Park
Mount Cammerer via Groundhog Ridge Manway,35.78288,-83.1738,5,Great Smoky Mountains National Park
Abrams Creek and Cooper Road Loop Trail,35.60931,-83.9352,3,Great Smoky Mountains National Park
Look Rock Tower,35.63748,-83.9376,1,Great Smoky Mountains National Park
Abrams Creek Trail,35.60628,-83.7777,3,Great Smoky Mountains National Park
Gabes Mountain Trail to Greenbrier Creek,35.75762,-83.2096,3,Great Smoky Mountains National Park
Laurel Creek Loop Trail,35.62834,-83.7262,3,Great Smoky Mountains National Park
Maddron Bald,35.76937,-83.2666,5,Great Smoky Mountains National Park
Snake Den Ridge Trail,35.75377,-83.2069,5,Great Smoky Mountains National Park
Bradley Fork Trail,35.56287,-83.3106,1,Great Smoky Mountains National Park
"Middle Prong, Lynn Camp, Miry Ridge-Panther Creek Loop",35.6179,-83.6696,3,Great Smoky Mountains National Park
Russell Field Trail,35.6057,-83.7777,3,Great Smoky Mountains National Park
Appalachian Trail and Chestnut Branch Trail Loop,35.7705,-83.111,3,Great Smoky Mountains National Park
Cataract Falls ADA Route,35.68574,-83.5373,1,Great Smoky Mountains National Park
Walker Sisters Home via Little Greenbrier Trail,35.69408,-83.6459,1,Great Smoky Mountains National Park
Pine Mountain Loop Trail,35.60784,-83.936,3,Great Smoky Mountains National Park
"Abram Falls, Hatcher Mountain, Copper Road and Wet Bottom Loop",35.59137,-83.8528,3,Great Smoky Mountains National Park
Abrams Falls Via Cooper Road and Little Bottoms Trails,35.61055,-83.9325,3,Great Smoky Mountains National Park
Pine Oak Nature Trail,35.60039,-83.7741,1,Great Smoky Mountains National Park
Little Mountain via Little Greenbrier Trail,35.69412,-83.64,3,Great Smoky Mountains National Park
Chestnut Top Trail,35.66048,-83.7086,5,Great Smoky Mountains National Park
John Oliver Cabin Access,35.60664,-83.7946,1,Great Smoky Mountains National Park
Lumber Ridge to Middle Prong Loop,35.64143,-83.6895,3,Great Smoky Mountains National Park
Lynn Camp Prong Trail,35.61744,-83.6694,3,Great Smoky Mountains National Park
Cooper Road and Rabbit Creek Loop Trail,35.59124,-83.8521,5,Great Smoky Mountains National Park
Crib Gap Trail,35.60484,-83.7703,3,Great Smoky Mountains National Park
Rich Mountain to Indian Grave Gap,35.64465,-83.8052,3,Great Smoky Mountains National Park
Gold Mine & Cane Creek Trails,35.64565,-83.9097,3,Great Smoky Mountains National Park
Newfound Gap to Grassy Patch,35.61114,-83.4248,5,Great Smoky Mountains National Park
Rabbit Creek Trail to Abrams Falls Trail Loop,35.59133,-83.8528,5,Great Smoky Mountains National Park
Mount Crammerer to Mount Sterling Rd,35.75274,-83.203,3,Great Smoky Mountains National Park
Crib Gap-Turkeypen Ridge-Schoolhouse Gap,35.60407,-83.7686,3,Great Smoky Mountains National Park
Cove Mountain Trail to Little Brier Gap,35.68823,-83.538,3,Great Smoky Mountains National Park
Roundtop Trail,35.69245,-83.646,3,Great Smoky Mountains National Park
Balsam Mountain Loop,35.70024,-83.0974,5,Great Smoky Mountains National Park
Quilliam Cave via Courthouse Rock Trail,35.65192,-83.5132,3,Great Smoky Mountains National Park
Wet Bottom Trail,35.59784,-83.8434,3,Great Smoky Mountains National Park
"Schoolhouse Gap Trail, Turkeypen Ridge Trail, and Finley Cane Trail Loop",35.62733,-83.7264,3,Great Smoky Mountains National Park
Doe Knob to Spence Field via Appalachian Trail,35.5625,-83.8461,3,Great Smoky Mountains National Park
Low Gap and Gabes Mountain Trail Loop,35.75198,-83.205,5,Great Smoky Mountains National Park
Sutton Ridge Overlook Trail,35.75322,-83.2066,3,Great Smoky Mountains National Park
Cades Cove to Ledbetter Ridge,35.60413,-83.7688,3,Great Smoky Mountains National Park
Abrams Creek to Cades Cove Loop,35.60787,-83.9362,3,Great Smoky Mountains National Park
Tricorner Knob and Mount Guyot via Snake Den Ridge Trail,35.75324,-83.2078,5,Great Smoky Mountains National Park
